estacao=Natal (automatica) (9000553);;;;;;;;;;;;;;;;;;;;;;;
municipio=Natal (2408102);;;;;;;;;;;;;;;;;;;;;;;
latitude=-5,8333;;;;;;;;;;;;;;;;;;;;;;;
longitude=-35,2;;;;;;;;;;;;;;;;;;;;;;;
altitude=39,0m ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
* variaveis calculadas pelo sistema ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
31/07/2017;20,8;não;23,7;não;26,6;não;8;não;0;3;72;não;97;não;2,24;12,38;4,4;20,3;23;1008,7;1012,6;2,24;100
30/07/2017;21;não;24,6;não;28,2;não;5,8;não;0;2;62;não;96;não;2,76;20,02;4,3;18,9;22,5;1009,4;1012,9;2,76;100
29/07/2017;21,5;não;24,3;não;27,1;não;1,8;não;0;1;63;não;94;não;2,32;14,57;5,3;19;22,5;1009,8;1012,6;2,32;99,48
28/07/2017;21,5;não;22,95;não;24,4;não;40;não;0;0;88;não;97;não;1,54;6,38;2,5;19,6;23,4;1008,4;1011,9;1,54;100
27/07/2017;21,1;não;24,4;não;27,7;não;6,2;não;0;6;62;não;94;não;2,57;10,48;3,2;19,3;22,8;1007,2;1010,2;2,57;100
26/07/2017;21,4;não;24,65;não;27,9;não;4,4;não;0;5;63;não;96;não;2,6;16,35;3,8;19,6;22,6;1007,9;1012,1;2,6;100
25/07/2017;21,5;não;25;não;28,5;não;1,6;não;0;4;65;não;94;não;2,8;20,88;3,8;19,9;22,9;1009,5;1013,1;2,79;98,54
24/07/2017;22,1;não;25,3;não;28,5;não;3,8;não;0;3;58;não;95;não;2,73;21,35;4;18,3;22,6;1011,1;1013,6;2,73;99,73
23/07/2017;22;não;25,15;não;28,3;não;2,6;não;0;2;70;não;94;não;2,67;20,52;2,9;20,5;23,3;1009,8;1013,2;2,67;98,66
22/07/2017;21,9;não;25,1;não;28,3;não;1,4;não;0;1;72;não;95;não;2,68;17,66;3,4;20,9;23,9;1009,2;1013;2,67;98,73
21/07/2017;22,2;não;24,65;não;27,1;não;28,8;não;0;0;76;não;97;não;2,24;8,2;3;21,6;23,9;1009;1012,4;2,24;100
20/07/2017;22,1;não;24,4;não;26,7;não;7,4;não;0;9;79;não;96;não;2,12;13,01;2,6;21,5;23,9;1009;1012,7;2,12;86,92
19/07/2017;23;não;25,7;não;28,4;não;0;não;7;8;66;não;88;não;2,58;15,69;3,1;20;23,1;1008,7;1012;2,14;81,64
18/07/2017;21;não;24,95;não;28,9;não;0;não;6;7;60;não;87;não;3,01;15,31;5,1;18,3;21,5;1008,9;1012,4;2,56;83,78
17/07/2017;22,6;não;25,55;não;28,5;não;0;não;5;6;49;não;89;não;2,66;15,21;4,9;16,3;21,2;1007,9;1010,9;2,33;86,34
16/07/2017;22,9;não;25,75;não;28,6;não;0;não;4;5;64;não;84;não;2,66;15,91;5,2;19,9;21,8;1008,2;1011;2,39;88,67
15/07/2017;22,6;não;25,45;não;28,3;não;0;não;3;4;62;não;86;não;2,59;17,38;5,2;18,9;21,5;1008,5;1011,2;2,38;91,06
14/07/2017;22,1;não;25,5;não;28,9;não;0;não;2;3;51;não;90;não;2,87;20,87;5;17,4;21,5;1008,5;1011,3;2,73;93,44
13/07/2017;20,7;não;24,55;não;28,4;não;0;não;1;2;60;não;89;não;2,86;20,3;3,1;18,8;21,6;1008,8;1011,6;2,79;96,17
12/07/2017;22,3;não;25,05;não;27,8;não;1,4;não;0;1;69;não;95;não;2,45;18,02;5,5;19;23,6;1008,8;1011,4;2,44;98,96
11/07/2017;22,1;não;23,45;não;24,8;não;46;não;0;0;82;não;97;não;1,58;1,54;4,2;21,2;22,9;1009,1;1012,4;1,58;100
10/07/2017;22,2;não;24,25;não;26,3;não;19,6;não;0;0;74;não;97;não;1,99;7,02;3,6;20,7;23,7;1008,5;1011,6;1,99;100
09/07/2017;22,4;não;24,55;não;26,7;não;11,2;não;0;0;74;não;96;não;2,09;12,9;2,7;19,7;23,8;1008,8;1011,6;2,09;100
08/07/2017;22,8;não;25,45;não;28,1;não;0;não;2;2;58;não;87;não;2,5;10,7;3,2;17,9;21,8;1008,1;1011,7;2,43;95,74
07/07/2017;22,3;não;25,05;não;27,8;não;0,6;não;1;1;68;não;92;não;2,45;13,11;3,9;19,5;23,9;1008;1012;2,43;98,17
06/07/2017;21,5;não;24,2;não;26,9;não;124;não;0;0;76;não;98;não;2,24;10,08;3,3;21,1;22,9;1008,7;1012,1;2,24;100
05/07/2017;22,5;não;25,55;não;28,6;não;0,2;não;4;4;69;não;93;não;2,71;10,92;4,2;20,6;22,8;1008,9;1012,1;2,48;90,01
04/07/2017;21,9;não;25,5;não;29,1;não;0;não;3;3;60;não;90;não;2,97;19,35;5,1;19,4;21,8;1009;1012,2;2,79;92,29
03/07/2017;23,1;não;25,85;não;28,6;não;0;não;2;2;61;não;89;não;2,63;13,14;3,3;19,4;22,3;1009,8;1012,5;2,53;95,08
02/07/2017;22,3;não;25,3;não;28,3;não;0,2;não;1;1;64;não;96;não;2,62;15,62;4,2;20,2;23,6;1008,6;1011,5;2,59;97,61
01/07/2017;22,4;não;23,45;não;24,5;não;66;não;0;0;95;não;97;não;1,48;1,55;1,6;21,8;23,8;1008,7;1012,1;1,48;100
30/06/2017;23,2;não;25,45;não;27,7;não;38,2;não;0;0;78;não;97;não;2,32;8,44;1;22;25,3;1008;1011,2;2,32;100
29/06/2017;23;não;25,9;não;28,8;não;7,4;não;0;1;75;não;96;não;2,72;15,6;2,8;22,1;25,4;1007,6;1010,6;2,72;100
28/06/2017;22,8;não;25,85;não;28,9;não;15;não;0;0;68;não;96;não;2,78;12,08;3,4;19,8;24,1;1008;1010,4;2,78;100
27/06/2017;23,1;não;26,15;não;29,2;não;0;não;2;2;62;não;89;não;2,85;12,53;4,8;19,2;22,6;1006,7;1009,2;2,73;94,5
26/06/2017;22,8;não;25,9;não;29;não;0;não;1;1;64;não;88;não;2,81;14,46;4,9;20,4;22,6;1006,7;1009,5;2,77;97,23
